tracker,param,value,HOTA,MOTA,IDF1,IDSW
ocsort_det_thresh_0.1,det_thresh,0.1,75.509,87.013,71.187,2046
ocsort_det_thresh_0.2,det_thresh,0.2,75.509,87.013,71.187,2046
ocsort_det_thresh_0.3,det_thresh,0.3,75.509,87.013,71.187,2046
ocsort_det_thresh_0.4,det_thresh,0.4,75.509,87.013,71.187,2046
ocsort_det_thresh_0.5,det_thresh,0.5,75.509,87.013,71.187,2046
ocsort_iou_threshold_0.1,iou_threshold,0.1,80.165,89.581,76.278,1610
ocsort_iou_threshold_0.2,iou_threshold,0.2,78.708,88.599,74.796,1745
ocsort_iou_threshold_0.3,iou_threshold,0.3,75.509,87.013,71.187,2046
ocsort_iou_threshold_0.4,iou_threshold,0.4,70.9,84.521,66.41,2522
ocsort_iou_threshold_0.5,iou_threshold,0.5,64.486,80.951,59.797,3356
ocsort_max_age_10,max_age,10,76.125,88.237,71.207,2018
ocsort_max_age_20,max_age,20,75.745,87.501,71.129,2016
ocsort_max_age_30,max_age,30,75.509,87.013,71.187,2046
ocsort_max_age_50,max_age,50,75.134,86.557,71.025,2083
ocsort_min_hits_1,min_hits,1,76.263,88.475,71.226,4007
ocsort_min_hits_2,min_hits,2,75.897,87.751,71.252,2495
ocsort_min_hits_3,min_hits,3,75.509,87.013,71.187,2046
ocsort_min_hits_5,min_hits,5,74.777,85.685,71.002,1761
ocsort_optimal,ocsort_optimal,?,80.922,91.551,75.926,2681
